"""horodatage"" ;""places_disponibles"""
"14/03/21 00:02;444"
"15/03/21 02:41;450"
"16/03/21 05:22;433"
"17/03/21 08:02;415"
"18/03/21 10:41;338"
"19/03/21 13:28;352"
"20/03/21 16:08;441"
"21/03/21 18:48;450"
"22/03/21 21:27;435"
"24/03/21 00:10;442"
"25/03/21 02:50;448"
"26/03/21 05:30;435"
"27/03/21 08:10;434"
"30/03/21 05:33;438"
"01/04/21 00:20;443"
"02/04/21 03:00;448"
"03/04/21 05:40;445"
"04/04/21 08:20;451"
"05/04/21 11:02;451"
"28/03/21 10:18;445"
"28/03/21 23:38;453"
"06/04/21 14:04;362"
"07/04/21 16:44;374"
"08/04/21 19:24;404"
"09/04/21 22:03;441"
"11/04/21 00:44;454"
"12/04/21 03:24;461"
"13/04/21 06:03;450"
"13/04/21 15:26;358"
"15/04/21 11:24;344"
"16/04/21 14:04;393"
"17/04/21 16:44;443"
"18/04/21 19:24;453"
"19/04/21 22:03;448"
"21/04/21 00:44;447"
"22/04/21 03:24;452"
"23/04/21 06:03;438"
"24/04/21 08:44;442"
"25/04/21 11:24;459"
"26/04/21 14:04;379"
"27/04/21 16:44;376"
"28/04/21 19:24;417"
"29/04/21 22:03;442"
"01/05/21 00:44;444"
"02/05/21 03:24;450"
"03/05/21 06:04;441"
"04/05/21 08:44;390"
"05/05/21 11:23;""NA"""
"06/05/21 14:04;354"
"07/05/21 16:44;386"
"08/05/21 19:23;449"
"09/05/21 22:04;454"
"11/05/21 00:44;455"
"12/05/21 03:28;461"
"13/05/21 06:07;453"
"14/05/21 08:48;439"
"15/05/21 11:28;439"
"16/05/21 14:07;463"
