"code_parking";"nom";"zone";"etiquette";"horaires"
"PMO04";"Parking Anvers";"CENTRE";"AUTRE";"24h/24 7j/7"
"PMO05";"Parking Maubert Collège des Bernardins";"CENTRE";"CULTURE";"24h/24 7j/7"
"PMO06";"Parking Lagrange-Maubert";"CENTRE";"AUTRE";"24h/24 7j/7"
"PMO08";"Parking Meyerbeer Opéra";"CENTRE";"CULTURE";"24h/24 7j/7"
"PMO10";"Parking Hôpital Sainte Anne";"CENTRE";"HOPITAL";"7h / 21h"
"PMO11";"Parking Hôpital Henri Mondor";"EXTRA-MUROS";"HOPITAL";"24h/24 7j/7"
"PMO14";"Parking Pyramides";"CENTRE";"CULTURE";"24h/24 7j/7"
"PMO17";"Parking Mairie du 17ème";"CENTRE";"AUTRE";"8h / 22h45"
"PMO19";"Parking Hôpital Saint Louis";"CENTRE";"HOPITAL";"7h / 21h30"
"PMO23";"Parking Rivoli-Sébastopol";"CENTRE";"AUTRE";"24h/24 7j/7"
"PMO26";"Parking Méditerranée - Gare de Lyon";"CENTRE";"TRANSPORT";"24h/24 7j/7"
"PMO30";"Parking Hôpital Robert-Debré";"CENTRE";"HOPITAL";"24h/24 7j/7"
"PMO62";"Parking Charléty Coubertin";"CENTRE";"AUTRE";"7h15 / 22h 7j/7"
"PMO65";"Parking Bercy Seine";"CENTRE";"CULTURE";"24h/24 7j/7"
"PMO68";"Parking Porte d Orléans";"CENTRE";"AUTRE";"24h/24 7j/7"
"PMO73";"Parking Reuilly-Diderot";"CENTRE";"AUTRE";"8h / 19h30 sauf dimanche et jours fériés"
"PMO81";"Parc Relais Val d'Europe - Serris Montévrain";"EXTRA-MUROS";"TRANSPORT";"5h / 1h30 du lundi au vendredi, 7h/15h le samedi, fermé le dimanche et jours fériés"
"PMO84";"Parc Relais Vaires Torcy";"EXTRA-MUROS";"TRANSPORT";"24h/24 7j/7"
"PMO87";"Parking Odéon-Ecole de Médecine";"CENTRE";"CULTURE";"24h/24 7j/7"
"PMO95";"Parking Hôtel de Ville";"CENTRE";"AUTRE";"24h/24 7j/7"
